yday1,yday2,wind1,wind2
19,33,0,0
-22,-10,0,0
3,25,0,0
-22,-10,1,1
-2,3,0,0
0,7,0,0
-35,-3,0,0
7,11,0,0
7,11,1,0
-21,-3,1,1
-35,-22,0,0
-21,-2,0,0
-22,-10,0,1
25,32,0,0
-30,-14,0.5,0
12,NA,0,0
6,12,0,0
18,35,0,0
-15,0,0,0
-2,3,0,0
-21,-3,0,0
-22,-10,1,2
-2,3,0,0
-15,0,0,0
-35,-3,0,0
-31,-14,2,0
19,33,0,0
-20,-3,1,0
-21,-2,0,0
-1,6,0,0
-31,-16,1,0
15,27,0,0
-1,7,0,1
19,27,0,1
-31,-21,0,0
-16,-1,0,0
-22,-10,0,1
-21,-3,0,0
-15,-1,0,0
-17,-9,1,1
1,6,0,0
15,34,1,0
27,34,1,1
0,7,0,1
-30,-16,0,1
0,7,0,1
-24,0,0,0
1,6,0,0
11,NA,0,0
0,7,0,1
-21,-10,1,2
25,32,0,0
-35,-10,0,1
-35,-10,0,1
-30,-14,1,1
-16,-1,0,0
26,32,0,0
-17,-9,0,1
26,32,0,0
-30,-21,1,1
-22,-10,0,0
-15,0,0,0
-16,-1,1,0
-21,-2,0,0
0,36,0,0
-20,-3,1,0
0,7,0,0
18,35,0,0
-21,-3,0,0
-13,-1,0,0
13,17,0,0
26,32,0,0
-1,6,0,0
-22,-10,0,0
25,32,0,0
1,6,0,0
-34,-20,0,0
-20,-3,1,0
-29,-16,1.5,0
-2,3,0,0
-15,-1,0,0
6,12,0,0
0,7,0,0
-21,-3,0,0
34,46,0,2
0,11,0,0
-17,-9,1,1
-15,0,0,0
1,6,0,0
-21,-3,1,0
0,7,0,1
-17,-9,0,1
26,32,0,0
12,NA,0,0
-35,-3,0,0
1,12,0,0
-31,NA,0,0
25,32,0,0
-15,0,0,0
-1,6,0,4
-13,-1,1,0
11,NA,0,0
-31,-21,0,1
15,27,1,1
7,11,1,0
13,19,1,0
-41,-32,0,0
-7,24,0,0
-41,-32,0,0
15,27,1,0
-7,24,0,0
-15,-7,0,0
19,27,0,0
-41,-32,0,0
18,27,0,0
-15,-8,0,1
-15,-8,0,2
15,19,1,0
27,34,0,0
-20,-3,1,0
-3,3,0,0
-37,36,2,0
3,25,0,0
-30,-16,0,0
-17,-9,0,0
-30,-15,0,0
-10,-4,1,0
-38,37,0,0
-31,-16,0,0
-23,-4,0,0
-37,36,1,0
-30,-16,1,0
-15,-1,0,0
-42,-30,0,1
-30,-16,1,0
-44,-4,0,0
13,17,0,1
-31,-14,1,0
-38,37,0,0
-42,-34,0,0
-16,48,0,0
-31,-14,0.5,0
13,33,1,1
7,46,0,0
-21,-3,2,0
13,17,1,0
13,19,0,0
-31,-24,1,1
-22,-10,0,1
-14,8,0,0
-42,-33,0,0
-1,6,0,1
-44,-23,0,0
-42,-30,0,2
3,25,0,0
-31,-24,0,0
-23,-4,0,0
-1,8,0,0
-31,-24,1,1
-2,3,0,0
-16,-7,0,0
-7,-7,0,0
-31,-24,1,0
-34,-23,0,1
13,19,0,0
-42,-34,0,0
-2,4,1,0.5
13,19,0,0
-34,-23,0,0
-34,-23,0,1
-59,-43,1,0
-42,-33,0,0
-15,-1,0,0
-42,-2,0,1
-42,-2,0,0
-17,-9,1,1
13,20,0,0
-31,-14,2,1
-14,-1,0,2
13,33,1,1
-24,0,1,0
-43,-2,0,0
-33,-20,0,0
-9,-2,2,0
-38,36,1,0
-41,-32,0,0
-41,-32,0,1
-41,-32,0,0
-15,-7,0,0
14,19,0,0
-59,-59,0,0
-41,-33,0,1
15,18,0,0
-41,-32,0,1
-15,-7,0,0
-15,-7,0,0
19,28,0,1
15,35,0,0
-15,-7,0,0
-15,-7,0,0
-43,-8,0,0
-16,-7,0,0